Iteration,Theta,M,X,Error
149,17,0.0020000000000000434,52,39466.04124090135
150,17,0.0030000000000000443,52,39465.072774735316
151,17,0.004000000000000045,52,39464.308162215966
152,17,0.005000000000000046,52,39463.814322516206
153,17,0.006000000000000047,52,39463.60521907933
154,18,-0.05,50,39393.43254401292
155,18,-0.05,52,39206.723822230044
156,18,-0.049,52,39206.66842487759
157,18,-0.048,52,39206.60036999801
158,18,-0.047,52,39206.51883149697
159,18,-0.046,52,39206.423936334846
160,18,-0.045,52,39206.32939044808
161,18,-0.044,52,39206.224046595875
162,18,-0.043,52,39206.102070948036
163,18,-0.041999999999999996,52,39205.96240819217
164,18,-0.040999999999999995,52,39205.80394501674
165,18,-0.039999999999999994,52,39205.62550700133
166,18,-0.03899999999999999,52,39205.43310516186
167,18,-0.03799999999999999,52,39205.22289235699
168,18,-0.03699999999999999,52,39204.9894877605
169,18,-0.03599999999999999,52,39204.73147969466
170,18,-0.03499999999999999,52,39204.44737960055
171,18,-0.03399999999999999,52,39204.1446677919
172,18,-0.03299999999999999,52,39203.82755460144
173,18,-0.03199999999999999,52,39203.4956340263
174,18,-0.030999999999999986,52,39203.14938058596
175,18,-0.029999999999999985,52,39202.76988249662
176,18,-0.028999999999999984,52,39202.355151455384
177,18,-0.027999999999999983,52,39201.90513052863
178,18,-0.026999999999999982,52,39201.43898210762
179,18,-0.02599999999999998,52,39200.93451811478
180,18,-0.02499999999999998,52,39200.4036072734
181,18,-0.02399999999999998,52,39199.85648200706
182,18,-0.02299999999999998,52,39199.26822465297
183,18,-0.021999999999999978,52,39198.65626637154
184,18,-0.020999999999999977,52,39197.99461167188
185,18,-0.019999999999999976,52,39197.28036390669
186,18,-0.018999999999999975,52,39196.52866301493
187,18,-0.017999999999999974,52,39195.73145983197
188,18,-0.016999999999999973,52,39194.905917839555
189,18,-0.015999999999999973,52,39194.029892823724
190,18,-0.014999999999999972,52,39193.10642720716
191,18,-0.01399999999999997,52,39192.19443312315
192,18,-0.01299999999999997,52,39191.28638131934
193,18,-0.011999999999999969,52,39190.34712001692
194,18,-0.010999999999999968,52,39189.33645606633
195,18,-0.009999999999999967,52,39188.250245861745
196,18,-0.008999999999999966,52,39187.08411863377
197,18,-0.007999999999999965,52,39185.833464101284
198,18,-0.006999999999999965,52,39184.52853393866
199,18,-0.005999999999999964,52,39183.15905361729
200,18,-0.004999999999999963,52,39181.69800801648
201,18,-0.003999999999999962,52,39180.274974606975
202,18,-0.002999999999999961,52,39178.845223035634
203,18,-0.00199999999999996,52,39177.39303368497
204,18,-0.0009999999999999593,52,39176.01654667787
205,18,4.163336342344337e-17,52,39174.6073167325
206,18,0.0010000000000000425,52,39173.32838274191
207,18,0.0020000000000000434,52,39172.05372974081
208,18,0.0030000000000000443,52,39170.86028391176
209,18,0.004000000000000045,52,39169.871117057526
210,18,0.005000000000000046,52,39168.94280621207
211,18,0.006000000000000047,52,39168.26561921551
212,18,0.007000000000000048,52,39167.74021435784
213,18,0.008000000000000049,52,39167.27942032473
214,18,0.00900000000000005,52,39166.946256393494
215,18,0.01000000000000005,52,39166.92504177071
216,19,-0.05,50,39157.82576530788
217,19,-0.05,52,38954.930730802764
218,19,-0.049,52,38954.91131029991
219,19,-0.048,52,38954.88348171695
220,19,-0.047,52,38954.846269111506
221,19,-0.046,52,38954.79904023642
222,19,-0.045,52,38954.74112719955
223,19,-0.044,52,38954.6718245019
224,19,-0.043,52,38954.59038696729
225,19,-0.041999999999999996,52,38954.496027557616
226,19,-0.040999999999999995,52,38954.39306093572
227,19,-0.039999999999999994,52,38954.28239338499
228,19,-0.03899999999999999,52,38954.15676590726
229,19,-0.03799999999999999,52,38954.03747705731
230,19,-0.03699999999999999,52,38953.9094775208
231,19,-0.03599999999999999,52,38953.764492644856
232,19,-0.03499999999999999,52,38953.611229083515
233,19,-0.03399999999999999,52,38953.44390666829
234,19,-0.03299999999999999,52,38953.25639227596
235,19,-0.03199999999999999,52,38953.04741786835
236,19,-0.030999999999999986,52,38952.815643930044
237,19,-0.029999999999999985,52,38952.559655492194
238,19,-0.028999999999999984,52,38952.277957934224
239,19,-0.027999999999999983,52,38951.96897255113
240,19,-0.026999999999999982,52,38951.63103187305
241,19,-0.02599999999999998,52,38951.27978651663
242,19,-0.02499999999999998,52,38950.930871439254
243,19,-0.02399999999999998,52,38950.57641235749
244,19,-0.02299999999999998,52,38950.20750062914
245,19,-0.021999999999999978,52,38949.80605050249
246,19,-0.020999999999999977,52,38949.39360762607
247,19,-0.019999999999999976,52,38948.962071742164
248,19,-0.018999999999999975,52,38948.52027768999
249,19,-0.017999999999999974,52,38948.08143607181
250,19,-0.016999999999999973,52,38947.60782808902
251,19,-0.015999999999999973,52,38947.09014665379
252,19,-0.014999999999999972,52,38946.55708400559
253,19,-0.01399999999999997,52,38945.998722734585
254,19,-0.01299999999999997,52,38945.463302356264
255,19,-0.011999999999999969,52,38944.93334044329
256,19,-0.010999999999999968,52,38944.362184546706
257,19,-0.009999999999999967,52,38943.829765634415
258,19,-0.008999999999999966,52,38943.2975443504
259,19,-0.007999999999999965,52,38942.7102222794
260,19,-0.006999999999999965,52,38942.110706865045
261,19,-0.005999999999999964,52,38941.55224995305
262,19,-0.004999999999999963,52,38940.94648185106
263,19,-0.003999999999999962,52,38940.3215371337
264,19,-0.002999999999999961,52,38939.64825938763
265,19,-0.00199999999999996,52,38938.912013429755
266,19,-0.0009999999999999593,52,38938.21236013845
267,19,4.163336342344337e-17,52,38937.595535514374
268,19,0.0010000000000000425,52,38936.98438536416
269,19,0.0020000000000000434,52,38936.42795170581
270,19,0.0030000000000000443,52,38936.171180950376
271,19,0.004000000000000045,52,38935.87010158779
272,19,0.005000000000000046,52,38935.73330319901
273,20,-0.05,52,38744.90045896739
274,20,-0.05,54,38725.53138055376
275,21,-0.05,52,38573.781659057844
276,21,-0.05,54,38532.99551810963
277,22,-0.05,52,38431.10320403497
278,22,-0.05,54,38368.668694334985
279,23,-0.05,52,38319.17127040616
280,23,-0.05,54,38235.107327137644
281,23,-0.049,54,38235.09828528957
282,23,-0.048,54,38235.09020291761
283,23,-0.047,54,38235.07916591331
284,23,-0.046,54,38235.06495900059
285,23,-0.045,54,38235.057426659936
286,23,-0.044,54,38235.055214674474
287,23,-0.043,54,38235.05418218776
288,23,-0.041999999999999996,54,38235.04959244037
289,23,-0.020999999999999977,54,38235.04454046598
290,23,-0.019999999999999976,54,38234.99461904462
291,23,-0.018999999999999975,54,38234.93143778997
292,23,-0.017999999999999974,54,38234.85400725488
293,23,-0.016999999999999973,54,38234.797779138404
294,24,-0.05,52,38231.84596115368
295,24,-0.05,54,38125.54746291888
296,24,-0.049,54,38125.477239361935
297,24,-0.048,54,38125.41378168332
298,24,-0.047,54,38125.34736666446
299,24,-0.046,54,38125.27596345474
300,24,-0.045,54,38125.2024152798
301,24,-0.044,54,38125.12646111693
302,24,-0.043,54,38125.04471598785
303,24,-0.041999999999999996,54,38124.96863049253
304,24,-0.040999999999999995,54,38124.89013451105
305,24,-0.039999999999999994,54,38124.804924790864
306,24,-0.03899999999999999,54,38124.712576814985
307,24,-0.03799999999999999,54,38124.62196544725
308,24,-0.03699999999999999,54,38124.531593691514
309,24,-0.03599999999999999,54,38124.439089879495
310,24,-0.03499999999999999,54,38124.34061528669
311,24,-0.03399999999999999,54,38124.244144579556
312,24,-0.03299999999999999,54,38124.13898597696
313,24,-0.03199999999999999,54,38124.02667391263
314,24,-0.030999999999999986,54,38123.90565144514
315,24,-0.029999999999999985,54,38123.7742167884
316,24,-0.028999999999999984,54,38123.63754399962
317,24,-0.027999999999999983,54,38123.52102528675
318,24,-0.026999999999999982,54,38123.39321538053
319,24,-0.02599999999999998,54,38123.25431630643
320,24,-0.02499999999999998,54,38123.12550867541
321,24,-0.02399999999999998,54,38122.984891271626
322,24,-0.02299999999999998,54,38122.860749208245
323,24,-0.021999999999999978,54,38122.74449975455
324,24,-0.020999999999999977,54,38122.61475499371
325,24,-0.019999999999999976,54,38122.489070257725
326,24,-0.018999999999999975,54,38122.37203419331
327,24,-0.017999999999999974,54,38122.280079043994
328,24,-0.016999999999999973,54,38122.17352162633
329,24,-0.015999999999999973,54,38122.08610717463
330,24,-0.014999999999999972,54,38122.012324543655
331,24,-0.01399999999999997,54,38121.92338664879
332,24,-0.01299999999999997,54,38121.82846595102
333,24,-0.011999999999999969,54,38121.724585072465
334,24,-0.010999999999999968,54,38121.61951377947
335,24,-0.009999999999999967,54,38121.49455851042
336,24,-0.008999999999999966,54,38121.37719366565
337,24,-0.007999999999999965,54,38121.25273598045
338,24,-0.006999999999999965,54,38121.142898816695
339,24,-0.005999999999999964,54,38121.0846957657
340,24,-0.004999999999999963,54,38121.03565735019
341,24,-0.003999999999999962,54,38121.00118853211
342,25,-0.05,54,38047.02121015437
343,25,-0.049,54,38046.89279570512
344,25,-0.048,54,38046.75700695317
345,25,-0.047,54,38046.613429594196
346,25,-0.046,54,38046.461626282566
347,25,-0.045,54,38046.30113530659
348,25,-0.044,54,38046.131469185406
349,25,-0.043,54,38045.95211318301
350,25,-0.041999999999999996,54,38045.76252373426
351,25,-0.040999999999999995,54,38045.56212677776
352,25,-0.039999999999999994,54,38045.35203479514
353,25,-0.03899999999999999,54,38045.139898677924
354,25,-0.03799999999999999,54,38044.9151927475
355,25,-0.03699999999999999,54,38044.68237164147
356,25,-0.03599999999999999,54,38044.442875606175
357,25,-0.03499999999999999,54,38044.19322454608
358,25,-0.03399999999999999,54,38043.9539089231
359,25,-0.03299999999999999,54,38043.725949321866
360,25,-0.03199999999999999,54,38043.48380541449
361,25,-0.030999999999999986,54,38043.226655755076
362,25,-0.029999999999999985,54,38042.95363157861
363,25,-0.028999999999999984,54,38042.6638140123
364,25,-0.027999999999999983,54,38042.37468220509
365,25,-0.026999999999999982,54,38042.06949357955
366,25,-0.02599999999999998,54,38041.7451777424
367,25,-0.02499999999999998,54,38041.42092406921
368,25,-0.02399999999999998,54,38041.08601990343
369,25,-0.02299999999999998,54,38040.752170379084
370,25,-0.021999999999999978,54,38040.42312891899
371,25,-0.020999999999999977,54,38040.073953033236
372,25,-0.019999999999999976,54,38039.70121816851
373,25,-0.018999999999999975,54,38039.30347026236
374,25,-0.017999999999999974,54,38038.879166962055
375,25,-0.016999999999999973,54,38038.44372536517
376,25,-0.015999999999999973,54,38037.993938834974
377,25,-0.014999999999999972,54,38037.56970064166
378,25,-0.01399999999999997,54,38037.21600451491
379,25,-0.01299999999999997,54,38036.889796147625
380,25,-0.011999999999999969,54,38036.56096993938
381,25,-0.010999999999999968,54,38036.20363285077
382,25,-0.009999999999999967,54,38035.83705452226
383,25,-0.008999999999999966,54,38035.48091707377
384,25,-0.007999999999999965,54,38035.09270827837
385,25,-0.006999999999999965,54,38034.68886705197
386,25,-0.005999999999999964,54,38034.33070775159
387,25,-0.004999999999999963,54,38033.95341691843
388,25,-0.003999999999999962,54,38033.5899247771
389,25,-0.002999999999999961,54,38033.189739487934
390,25,-0.00199999999999996,54,38032.79773547128
391,25,-0.0009999999999999593,54,38032.41069316905
392,25,4.163336342344337e-17,54,38031.98495914755
393,25,0.0010000000000000425,54,38031.52117301862
394,25,0.0020000000000000434,54,38031.04892769468
395,25,0.0030000000000000443,54,38030.56299805759
396,25,0.004000000000000045,54,38030.081880034515
397,25,0.005000000000000046,54,38029.72598346922
398,25,0.006000000000000047,54,38029.45572276022
399,25,0.007000000000000048,54,38029.23496760933
400,25,0.008000000000000049,54,38029.06841939362
401,26,-0.05,54,38006.620865869445
402,26,-0.049,54,38006.293141862276
403,26,-0.048,54,38005.95243087369
404,26,-0.047,54,38005.607771224466
405,26,-0.046,54,38005.255652624066
406,26,-0.045,54,38004.887046994634
407,26,-0.044,54,38004.50112519231
408,26,-0.043,54,38004.09701459516
409,26,-0.041999999999999996,54,38003.673796711824
410,26,-0.040999999999999995,54,38003.23050465407
411,26,-0.039999999999999994,54,38002.7661204648
412,26,-0.03899999999999999,54,38002.279572293606
413,26,-0.03799999999999999,54,38001.76973141062
414,26,-0.03699999999999999,54,38001.235409049455
415,26,-0.03599999999999999,54,38000.69281341791
416,26,-0.03499999999999999,54,38000.12428099255
417,26,-0.03399999999999999,54,37999.53849630986
418,26,-0.03299999999999999,54,37998.92947146084
419,26,-0.03199999999999999,54,37998.301215825806
420,26,-0.030999999999999986,54,37997.662071734034
421,26,-0.029999999999999985,54,37997.00516402649
422,26,-0.028999999999999984,54,37996.33264988646
423,26,-0.027999999999999983,54,37995.6655573141
424,26,-0.026999999999999982,54,37994.990517601036
425,26,-0.02599999999999998,54,37994.29081346951
426,26,-0.02499999999999998,54,37993.577771042415
427,26,-0.02399999999999998,54,37992.85855333226
428,26,-0.02299999999999998,54,37992.11247853029
429,26,-0.021999999999999978,54,37991.34157371742
430,26,-0.020999999999999977,54,37990.52808191484
431,26,-0.019999999999999976,54,37989.72221904762
432,26,-0.018999999999999975,54,37988.90175211465
433,26,-0.017999999999999974,54,37988.042767575535
434,26,-0.016999999999999973,54,37987.14340991313
435,26,-0.015999999999999973,54,37986.196989942895
436,26,-0.014999999999999972,54,37985.2003996632
437,26,-0.01399999999999997,54,37984.14585508742
438,26,-0.01299999999999997,54,37983.03000128125
439,26,-0.011999999999999969,54,37981.84928687646
440,26,-0.010999999999999968,54,37980.60435813678
441,26,-0.009999999999999967,54,37979.348011660586
442,26,-0.008999999999999966,54,37978.17516371119
443,26,-0.007999999999999965,54,37977.129065828914
444,26,-0.006999999999999965,54,37976.058628447776
445,26,-0.005999999999999964,54,37974.96536349419
446,26,-0.004999999999999963,54,37973.81073554945
447,26,-0.003999999999999962,54,37972.605250299246
448,26,-0.002999999999999961,54,37971.37726835365
449,26,-0.00199999999999996,54,37970.118907279044
450,26,-0.0009999999999999593,54,37968.823103921204
451,26,4.163336342344337e-17,54,37967.45291094255
452,26,0.0010000000000000425,54,37966.0816616035
453,26,0.0020000000000000434,54,37964.71979990369
454,26,0.0030000000000000443,54,37963.57592405617
455,26,0.004000000000000045,54,37962.72476437311
456,26,0.005000000000000046,54,37961.887924517076
457,26,0.006000000000000047,54,37961.076725452556
458,26,0.007000000000000048,54,37960.31762074785
459,26,0.008000000000000049,54,37959.510119226536
460,26,0.00900000000000005,54,37958.71544864246
461,26,0.01000000000000005,54,37957.988583762184
462,26,0.011000000000000051,54,37957.2528315925
463,26,0.012000000000000052,54,37956.736570560126
464,26,0.013000000000000053,54,37956.29802158523
465,26,0.014000000000000054,54,37955.86292096136
466,26,0.015000000000000055,54,37955.53517602448
467,26,0.016000000000000056,54,37955.39791511192
468,26,0.017000000000000057,54,37955.36975051036
469,27,-0.003999999999999962,54,37954.71614202749
470,27,-0.002999999999999961,54,37952.17094762808
471,27,-0.00199999999999996,54,37949.48402824107
472,27,-0.0009999999999999593,54,37946.64733781613
473,27,4.163336342344337e-17,54,37943.820160357645
474,27,0.0010000000000000425,54,37941.18670574699
475,27,0.0020000000000000434,54,37938.49913735522
476,27,0.0030000000000000443,54,37935.761429779755
477,27,0.004000000000000045,54,37932.94316710437
478,27,0.005000000000000046,54,37930.07235292303
479,27,0.006000000000000047,54,37927.30862314115
480,27,0.007000000000000048,54,37924.39896935248
481,27,0.008000000000000049,54,37921.35327056815
482,27,0.00900000000000005,54,37918.46993059828
483,27,0.01000000000000005,54,37915.99888770277
484,27,0.011000000000000051,54,37913.51183514026
485,27,0.012000000000000052,54,37910.896596487546
486,27,0.013000000000000053,54,37908.2758365597
487,27,0.014000000000000054,54,37905.701843569725
488,27,0.015000000000000055,54,37903.678053841606
489,27,0.016000000000000056,54,37902.051945230574
490,27,0.017000000000000057,54,37900.645645148266
491,27,0.018000000000000058,54,37899.80563310167
492,27,0.01900000000000006,54,37899.78619686379
493,28,0.015000000000000055,54,37896.6516243752
494,28,0.016000000000000056,54,37893.38141261916
495,28,0.017000000000000057,54,37890.41015063935
496,28,0.018000000000000058,54,37888.03859576931
497,28,0.01900000000000006,54,37886.27057482726
498,28,0.02000000000000006,54,37884.63216408648
499,28,0.02100000000000006,54,37883.707174034666
